Disorder,Normal Activation Energy,Disorder Activation Energy,Cosine Similarity
amd,23807.80859375,24294.70703125,0.9343626499176025
cataract,23807.80859375,30180.7265625,0.6350369453430176
glaucoma,23807.80859375,29372.10546875,0.455142080783844
refractive,23807.80859375,25198.380859375,0.886192798614502
retinopathy,23807.80859375,22650.04296875,0.8371854066848755
